name,vaccination_age,doses,lab,sus,required,description,image
Meningococica C,5,2,TRUE,TRUE,TRUE,"A vacina é utilizada para prevenir as doenças provocadas pela bactéria Neisseria meningitidis do sorogrupo C, esta bactéria pode ser a causa de infecções graves, as vezes, ate fatais, como a meningite e a sepse. A vacinação é considerada a forma mais eficaz na prevenção desses problemas e a vacina está incluída no Programa Nacional de Imunizações do Ministério da Saúde.",meningococica2.png
Pentavalente,6,3,TRUE,TRUE,TRUE,"A vacina Pentavalente é uma vacina combinada do tipo injetável. Ela é uma união da vacina Tetravalente com a vacina Hepatite B, ou seja, a partir de agora ao invés de duas aplicações será necessário apenas uma injeção para que se imunize a criança contra as cinco doenças cobertas pela vacina.",penta3.png
VIP/VOP,6,3,TRUE,TRUE,TRUE,"Proteção contra a poliomielite ou paralisia infantil, doença contagiosa, provocada por vírus e caracterizada por paralisia súbita geralmente nas pernas. A transmissão ocorre pelo contato direto com pessoas ou contato com fezes de pessoas contaminadas, ou ainda contato com água e alimentos contaminados.",vipvop2.png
Febre amarela,9,1,TRUE,TRUE,TRUE,"Recomendada em dose única, a partir de 9 meses de vida para residentes ou viajantes para áreas de vacinação (de acordo com classificação do MS). Pode ser recomendada também para atender a exigências sanitárias de determinadas viagens internacionais, devendo a vacinação ser feita até dez dias antes de viagens. A indicação de uma segunda dose da vacina, especialmente para crianças vacinadas antes de 2 anos de idade, não é consensual, mas deve ser considerada de acordo com o risco epidemiológico e pela possibilidade de falha vacinal à primeira dose. Recomenda-se que crianças menores de 2 anos de idade não recebam as vacinas febre amarela e tríplice viral no mesmo dia. Nesses casos, e sempre que possível, respeitar intervalo de 30 dias entre as doses. Contraindicada para imunodeprimidos; mas se o risco de adquirir a doença superar os riscos potenciais da vacinação, o médico deverá avaliar sua utilização",febreamarela1.png
Pneumococica conjugada,12,reforço,TRUE,TRUE,TRUE,"A SBIm recomenda, a partir dos 2 meses de idade e sempre que possível, o uso preferencial da VPC13, com o intuito de ampliar a proteção para os três sorotipos adicionais em relação à VPC10. No entanto, quando isso não for possível, crianças menores de 6 anos com esquema completo ou incompleto de VPC10 podem se beneficiar com dose(s) adicional(is) de VPC13, respeitando-se a recomendação de bula para cada idade de início e o intervalo mínimo de dois meses da dose anterior da VPC10. O PNI adotou, desde janeiro de 2016, o esquema de duas doses da VPC10 aos 2 e 4 meses de vida, com reforço aos 12 meses. A SBIm mantém a recomendação de três doses quando utilizada a VPC13: aos 2, 4 e 6 meses de vida com reforço entre 12 e 15 meses.",pneumococicaref.png
Meningococica C,12,reforço,TRUE,TRUE,TRUE,"A vacina é utilizada para prevenir as doenças provocadas pela bactéria Neisseria meningitidis do sorogrupo C, esta bactéria pode ser a causa de infecções graves, as vezes, ate fatais, como a meningite e a sepse. A vacinação é considerada a forma mais eficaz na prevenção desses problemas e a vacina está incluída no Programa Nacional de Imunizações do Ministério da Saúde.",meningococicaref.png
Triplice viral,12,1,TRUE,TRUE,TRUE,"A vacina contra sarampo, caxumba e rubéola (vacina tríplice viral) é uma combinação de vírus vivos atenuados contra o sarampo, a caxumba e a rubéola, apresentada sob a forma liofilizada, em frasco-ampola com uma ou múltiplas doses. Todos os três componentes desta vacina obrigatória são altamente imunogênicos e eficazes, dando imunidade duradoura por praticamente toda a vida. A proteção inicia-se cerca de duas semanas após a vacinação.",tripliceviral1.png
Pentavalente,15,reforço,TRUE,TRUE,TRUE,"A vacina Pentavalente é uma vacina combinada do tipo injetável. Ela é uma união da vacina Tetravalente com a vacina Hepatite B, ou seja, a partir de agora ao invés de duas aplicações será necessário apenas uma injeção para que se imunize a criança contra as cinco doenças cobertas pela vacina.",pentaref.png
VIP/VOP,15,reforço,TRUE,TRUE,TRUE,"Proteção contra a poliomielite ou paralisia infantil, doença contagiosa, provocada por vírus e caracterizada por paralisia súbita geralmente nas pernas. A transmissão ocorre pelo contato direto com pessoas ou contato com fezes de pessoas contaminadas, ou ainda contato com água e alimentos contaminados.",vipvop3.png
Hepatite A,15,1,TRUE,TRUE,TRUE,"Para crianças a partir de 12 meses de idade não vacinadas para hepatite B no primeiro ano de vida, a vacina combinada hepatites A e B na formulação adulto pode ser considerada para substituir a vacinação isolada (A ou B) com esquema de duas doses (0 - 6 meses).",hepatitea.png
Tetraviral,15,1,TRUE,TRUE,TRUE,"A vacina tetra viral é uma atualização da vacina tríplice viral e consiste na combinação de vírus vivos atenuados contra o sarampo, a caxumba, a rubéola e catapora, apresentada sob a forma liofilizada, em frasco-ampola com uma ou múltiplas doses. Todos os quatro componentes desta vacina obrigatória são altamente imunogênicos e eficazes, dando imunidade duradoura por praticamente toda a vida.",tetraviral.png
Pentavalente,48,reforço,TRUE,TRUE,TRUE,"A vacina Pentavalente é uma vacina combinada do tipo injetável. Ela é uma união da vacina Tetravalente com a vacina Hepatite B, ou seja, a partir de agora ao invés de duas aplicações será necessário apenas uma injeção para que se imunize a criança contra as cinco doenças cobertas pela vacina.",pentaref.png
VIP/VOP,48,reforco,TRUE,TRUE,TRUE,"Proteção contra a poliomielite ou paralisia infantil, doença contagiosa, provocada por vírus e caracterizada por paralisia súbita geralmente nas pernas. A transmissão ocorre pelo contato direto com pessoas ou contato com fezes de pessoas contaminadas, ou ainda contato com água e alimentos contaminados.",vipvopref.png
Varicela,48,1,TRUE,TRUE,TRUE,"É considerada adequadamente vacinada a criança que tenha recebido duas doses da vacina após 1 ano de idade. Em situação de risco – por exemplo, surto de varicela ou exposição domiciliar – a primeira dose pode ser aplicada a partir de 9 meses de idade. Nesses casos, a aplicação de mais duas doses após a idade de 1 ano ainda será necessária. Veja considerações sobre o uso da vacina quádrupla viral (SCRV) no item 15. O uso em imunodeprimidos deve ser avaliado pelo médico",varicela1.png
Hepatite B,120,reforco,TRUE,TRUE,TRUE,"Proteção contra a Hepatite B, doença causada por um vírus e que provoca malestar, febre baixa, dor de cabeça, fadiga, dor abdominal, náuseas, vômitos e aversão a alguns alimentos. O doente fica com a pele amarelada. A Hepatite B é grave porque pode levar a uma infecção crônica (permanente) do fígado e, na idade adulta, ao câncer de fígado.",hepatitebref.png
Meningococica C,120,reforco,TRUE,TRUE,TRUE,"A vacina é utilizada para prevenir as doenças provocadas pela bactéria Neisseria meningitidis do sorogrupo C, esta bactéria pode ser a causa de infecções graves, as vezes, ate fatais, como a meningite e a sepse. A vacinação é considerada a forma mais eficaz na prevenção desses problemas e a vacina está incluída no Programa Nacional de Imunizações do Ministério da Saúde.",meningococicaref.png
Triplice viral,120,2,TRUE,TRUE,TRUE,"A vacina contra sarampo, caxumba e rubéola (vacina tríplice viral) é uma combinação de vírus vivos atenuados contra o sarampo, a caxumba e a rubéola, apresentada sob a forma liofilizada, em frasco-ampola com uma ou múltiplas doses. Todos os três componentes desta vacina obrigatória são altamente imunogênicos e eficazes, dando imunidade duradoura por praticamente toda a vida. A proteção inicia-se cerca de duas semanas após a vacinação.",tripliceviral2.png
HPV,120,1,TRUE,TRUE,TRUE,"Duas vacinas estão disponíveis no Brasil: HPV4, licenciada para ambos os sexos; e HPV2, licenciada apenas para o sexo feminino. O esquema de vacinação para meninas e meninos menores de 15 anos é de duas doses com intervalo de 6 meses (0 - 6 meses).",hpv.png
Dupla adulto,120,1,TRUE,TRUE,TRUE,"Proteção contra o tétano e a difteria. A difteria difteria é causada por um bacilo, produtor de uma toxina difteria (substância tóxica) que atinge as amídalas, a faringe, o nariz e a pele, onde provoca placas branco-acinzentadas. É transmitida, por meio de tosse ou espirro, de uma pessoa contaminada para outra. O tétano é uma infecção, causada por uma toxina (substância tóxica) tétano produzida pelo bacilo tetânico, que entra no organismo por meio de ferimentos ou lesões na pele (tétano acidental) ou pelo coto do cordão umbilical (tétano neonatal ou mal dos sete dias) e atinge o sistema nervoso central. Caracteriza-se por contrações e espasmos, dificuldade em engolir e rigidez no pescoço.",duplaadulto1.png
Dupla adulto,240,reforço,TRUE,TRUE,TRUE,"Proteção contra o tétano e a difteria. A difteria difteria é causada por um bacilo, produtor de uma toxina difteria (substância tóxica) que atinge as amídalas, a faringe, o nariz e a pele, onde provoca placas branco-acinzentadas. É transmitida, por meio de tosse ou espirro, de uma pessoa contaminada para outra. O tétano é uma infecção, causada por uma toxina (substância tóxica) tétano produzida pelo bacilo tetânico, que entra no organismo por meio de ferimentos ou lesões na pele (tétano acidental) ou pelo coto do cordão umbilical (tétano neonatal ou mal dos sete dias) e atinge o sistema nervoso central. Caracteriza-se por contrações e espasmos, dificuldade em engolir e rigidez no pescoço.",duplaadulto1ref.png
Dupla adulto,360,reforço,TRUE,TRUE,TRUE,"Proteção contra o tétano e a difteria. A difteria difteria é causada por um bacilo, produtor de uma toxina difteria (substância tóxica) que atinge as amídalas, a faringe, o nariz e a pele, onde provoca placas branco-acinzentadas. É transmitida, por meio de tosse ou espirro, de uma pessoa contaminada para outra. O tétano é uma infecção, causada por uma toxina (substância tóxica) tétano produzida pelo bacilo tetânico, que entra no organismo por meio de ferimentos ou lesões na pele (tétano acidental) ou pelo coto do cordão umbilical (tétano neonatal ou mal dos sete dias) e atinge o sistema nervoso central. Caracteriza-se por contrações e espasmos, dificuldade em engolir e rigidez no pescoço.",duplaadulto2ref.png
Dupla adulto,480,reforço,TRUE,TRUE,TRUE,"Proteção contra o tétano e a difteria. A difteria difteria é causada por um bacilo, produtor de uma toxina difteria (substância tóxica) que atinge as amídalas, a faringe, o nariz e a pele, onde provoca placas branco-acinzentadas. É transmitida, por meio de tosse ou espirro, de uma pessoa contaminada para outra. O tétano é uma infecção, causada por uma toxina (substância tóxica) tétano produzida pelo bacilo tetânico, que entra no organismo por meio de ferimentos ou lesões na pele (tétano acidental) ou pelo coto do cordão umbilical (tétano neonatal ou mal dos sete dias) e atinge o sistema nervoso central. Caracteriza-se por contrações e espasmos, dificuldade em engolir e rigidez no pescoço.",duplaadulto3ref.png
Hepatite B,240,reforço,TRUE,TRUE,TRUE,"Proteção contra a Hepatite B, doença causada por um vírus e que provoca malestar, febre baixa, dor de cabeça, fadiga, dor abdominal, náuseas, vômitos e aversão a alguns alimentos. O doente fica com a pele amarelada. A Hepatite B é grave porque pode levar a uma infecção crônica (permanente) do fígado e, na idade adulta, ao câncer de fígado.",hepatitebref.png
Triplice viral,240,reforço,TRUE,TRUE,TRUE,"A vacina contra sarampo, caxumba e rubéola (vacina tríplice viral) é uma combinação de vírus vivos atenuados contra o sarampo, a caxumba e a rubéola, apresentada sob a forma liofilizada, em frasco-ampola com uma ou múltiplas doses. Todos os três componentes desta vacina obrigatória são altamente imunogênicos e eficazes, dando imunidade duradoura por praticamente toda a vida. A proteção inicia-se cerca de duas semanas após a vacinação.",tripliceviralref.png
